City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
São Filipe,14.9,-24.5,79.39,81,95,7.23
Rimbey,52.63,-114.24,49.14,66,75,5.82
Manta,-0.95,-80.73,84.2,66,40,13.87
Hohhot,40.81,111.65,53.6,87,40,2.42
Mahébourg,-20.41,57.7,68.0,68,40,16.11
Yantal',56.85,105.25,40.84,90,2,5.82
Beipiao,41.79,120.78,60.87,94,100,1.95
Kembé,4.62,21.89,69.93,97,77,2.15
Sena Madureira,-9.07,-68.66,84.54,58,79,1.52
Shelburne,44.08,-80.2,56.05,44,1,10.29
Guácimo,10.21,-83.68,67.64,100,90,8.05
Carauari,-4.88,-66.9,88.21,51,83,3.11
Tuktoyaktuk,69.45,-133.04,35.6,82,90,10.29
Vestmannaeyjar,63.44,-20.27,47.71,79,14,9.35
Sistranda,63.73,8.83,50.0,76,75,4.7
Portland,45.52,-122.68,66.83,68,90,6.93
Luorong,24.41,109.61,74.86,90,98,3.27
Palm Coast,29.59,-81.21,84.24,74,40,8.05
Lebu,-37.62,-73.65,51.87,77,0,22.12
Botshabelo,-29.27,26.71,48.2,34,0,5.82
Zhangaözen,43.3,52.8,62.33,56,5,10.27
Fairbanks,64.84,-147.72,50.68,70,90,1.52
Bogyiszló,46.39,18.83,67.91,65,0,4.94
‘Ewa Beach,21.32,-158.01,84.27,58,1,11.41
Vila Franca do Campo,37.72,-25.43,66.2,59,20,5.82
Norman Wells,65.28,-126.83,48.2,49,75,14.99
Ilulissat,69.22,-51.1,33.8,37,0,2.24
Itarema,-2.92,-39.92,78.03,73,98,18.14
Ancud,-41.87,-73.82,52.0,84,99,3.0
Waddān,29.16,16.14,79.25,40,12,5.93
Sioux Lookout,50.1,-91.92,55.4,58,90,4.7
Hearst,49.68,-83.67,55.45,48,0,5.08
Alice Springs,-23.7,133.88,57.2,50,0,3.36
Port Blair,11.67,92.75,82.04,77,100,7.54
Kysyl-Syr,63.9,122.76,43.77,88,51,5.79
Galesong,-5.32,119.37,69.8,73,20,1.12
Soller,39.77,2.72,72.73,78,94,3.36
Shingū,33.73,135.98,69.21,72,51,4.41
Kemin,42.78,75.69,58.77,40,71,1.88
Guangming,45.33,122.78,55.98,94,61,2.17
Nome,64.5,-165.41,50.0,93,90,18.34
Mishelevka,52.86,103.17,48.27,92,100,15.84
Takoradze,4.88,-1.76,74.88,92,31,7.0
Mizdah,31.45,12.98,70.07,70,0,5.95
La Rioja,42.25,-2.5,71.6,53,75,3.36
Storslett,69.77,21.02,46.49,82,100,3.13
Egvekinot,66.32,-179.17,42.4,88,100,9.1
Talnakh,69.49,88.4,48.2,100,40,8.95
Gaozhou,21.94,110.85,75.83,90,88,3.24
Quesnel,53.0,-122.5,53.6,66,90,8.05
College,64.86,-147.8,50.47,66,90,3.36
Leningradskiy,69.38,178.42,40.57,95,100,9.15
Saint-Philippe,-21.36,55.77,58.86,59,52,8.05
Vostok,46.49,135.88,47.5,61,98,2.35
São Félix do Xingu,-6.64,-51.99,85.78,21,92,1.97
Yei,4.09,30.68,66.83,94,33,2.62
Naze,28.37,129.48,77.05,83,75,8.05
Qaqortoq,60.72,-46.03,50.0,37,100,16.11
Hualmay,-11.1,-77.61,63.37,76,33,9.08
Praia da Vitória,38.73,-27.07,65.68,55,40,16.15
São Miguel do Araguaia,-13.28,-50.16,86.2,27,2,6.55
Wexford,52.33,-6.46,63.57,79,100,3.42
Olinda,-8.01,-34.86,77.0,78,75,12.75
Ivanteyevka,55.97,37.92,51.44,87,75,8.95
Tulun,54.56,100.58,42.46,95,53,7.16
Tautira,-17.73,-149.15,84.2,66,40,12.75
Pisco,-13.7,-76.22,67.12,68,99,10.29
Raudeberg,61.99,5.14,52.0,96,100,13.76
Tairua,-37.02,175.85,59.85,77,54,15.01
Kokstad,-30.55,29.42,52.47,84,100,3.83
Ulladulla,-35.35,150.47,50.43,100,20,3.36
Richards Bay,-28.78,32.04,66.49,74,96,9.13
Dingle,11.0,122.67,75.45,90,99,0.74
Port Augusta,-32.5,137.77,44.6,100,0,4.7
Saint-Augustin,51.23,-58.65,52.84,62,45,19.8
Nanhai,30.13,111.78,66.99,97,100,1.97
Hay River,60.82,-115.8,51.8,40,75,11.41
Bac Lieu,9.29,105.72,77.86,85,100,3.87
Kabo,7.7,18.63,68.47,98,100,2.64
Broken Hill,-31.95,141.43,46.4,81,0,10.29
Fortuna,40.6,-124.16,69.76,60,1,12.75
Saint George,37.1,-113.58,96.94,7,1,9.17
Hithadhoo,-0.6,73.08,81.23,67,91,3.71
Maceió,-9.67,-35.74,71.6,94,75,4.7
Kibala,9.11,18.35,77.0,88,20,4.18
Necochea,-38.55,-58.74,55.99,38,0,1.99
Atambua,-9.11,124.89,67.05,83,25,4.92
Kuala Terengganu,5.33,103.14,78.4,83,20,3.36
Kirovskiy,45.09,133.51,53.28,95,99,1.39
Chifeng,42.27,118.96,58.05,86,97,3.36
Benguela,-12.58,13.41,71.55,77,98,5.39
Agar,23.7,76.02,75.0,92,49,8.84
Taltal,-25.4,-70.48,59.85,68,22,2.64
Constitución,-35.33,-72.42,57.76,69,0,10.45
Leona Vicario,20.97,-87.19,89.29,66,75,11.41
Mahon,39.89,4.27,73.4,88,7,4.7
Ylöjärvi,61.56,23.6,47.07,87,64,6.93
Pahrump,36.21,-115.98,98.01,15,51,4.0
San Juan,-31.54,-68.54,67.89,25,0,14.56
Sitka,57.05,-135.33,60.8,55,1,8.05
Pokhara,28.23,83.98,69.96,79,99,1.12
Igrim,63.19,64.42,51.46,90,100,10.58
Maningrida,-12.07,134.27,72.93,77,73,10.11
Pedasí,7.53,-80.03,81.7,81,81,13.76
Beisfjord,68.38,17.6,44.02,100,97,3.36
Beloha,-25.17,45.05,76.62,50,84,8.79
Aksarka,66.56,67.8,50.04,92,100,16.78
Muros,42.78,-9.06,64.63,90,2,1.01
Callaway,30.15,-85.57,76.37,94,90,16.11
Buraidah,26.33,43.98,84.2,21,0,2.24
Kaeo,-35.1,173.78,57.99,3,82,7.0
Caravelas,-17.71,-39.25,72.09,78,0,6.8
Narsaq,60.92,-46.05,50.0,37,100,16.11
Lebyazh'ye,55.27,66.49,51.39,75,97,8.01
Bandar-e Lengeh,26.56,54.88,91.4,21,0,6.93
Siguiri,11.67,-9.5,74.93,89,81,1.45
Toyooka,35.53,134.83,64.4,88,75,9.17
Arman',59.7,150.17,53.78,50,77,5.73
Umm Kaddadah,13.6,26.69,86.2,48,75,9.28
Sabzawār,36.21,57.68,61.27,32,0,7.85
Barkhan,29.9,69.53,80.06,38,39,7.27
Areosa,41.72,-8.86,65.26,93,75,4.7
Toora-Khem,52.47,96.11,33.98,91,5,1.07
Conceição do Araguaia,-8.26,-49.26,90.75,22,92,5.23
Seoul,37.57,126.98,64.92,100,1,2.51
Khatanga,71.97,102.5,47.79,77,87,2.75
Puerto Suárez,-18.95,-57.8,89.6,62,0,10.29
Ferrol,43.48,-8.24,67.14,77,43,5.82
Santa Cruz de la Sierra,-17.8,-63.17,78.8,44,75,20.8
Rawson,-43.3,-65.1,65.53,32,23,13.33
Cirò Marina,39.37,17.13,77.5,64,30,8.1
Hambantota,6.12,81.12,77.0,100,94,5.82
Safi,32.3,-9.24,68.88,87,0,8.81
Vila do Maio,15.13,-23.22,80.42,84,92,11.16
Saint-Pierre,-21.34,55.48,57.87,59,1,8.05
Jiuquan,39.74,98.52,47.75,43,0,1.79
Oktyabr'skiy,54.48,53.47,45.39,92,53,5.77
Rome,43.21,-75.46,60.64,45,1,12.75
Puerto Escondido,15.85,-97.07,86.0,62,75,6.93
Mayo,38.89,-76.51,73.74,50,1,9.17
Nikolskoye,59.7,30.79,53.31,93,20,8.95
Iqaluit,63.75,-68.51,38.98,56,75,11.41
Khorixas,-20.37,14.97,51.91,46,0,2.42
Loreto,22.27,-101.97,74.05,45,72,11.86
Mehamn,71.04,27.85,46.4,93,90,4.7
Mildura,-34.2,142.15,44.31,100,0,4.7
Nioro,13.35,-15.75,79.92,83,54,4.52
Vakhrushevo,55.23,61.72,53.6,66,20,8.95
Bafra,41.57,35.91,75.2,78,40,14.99
Cap Malheureux,-19.98,57.61,69.01,56,21,8.01
Okakarara,-20.58,17.43,59.76,31,0,8.7
Erzin,36.96,36.2,82.0,85,3,1.39
Biak,-0.91,122.88,75.49,80,100,9.22
Lüderitz,-26.65,15.16,55.69,66,0,20.02
Horqueta,-23.34,-57.06,69.96,68,21,12.64
Kaitangata,-46.28,169.85,51.01,50,1,11.01
Paraíso,9.84,-83.87,67.66,100,90,8.05
Thohoyandou,-22.95,30.48,70.61,27,0,3.18
Nauta,-4.51,-73.58,90.25,54,40,0.67
Ayan,56.45,138.17,59.23,74,100,8.14
Nizhniy Odes,63.64,54.86,45.77,98,99,4.92
Lavrentiya,65.58,-171.0,44.13,96,100,6.78
Ubauro,28.17,69.73,91.92,34,13,8.16
Arraial do Cabo,-22.97,-42.03,75.97,73,0,10.29
Ibrā’,22.69,58.53,77.74,55,71,1.63
Faro,37.02,-7.93,71.6,78,0,11.41
Padang,-0.95,100.35,77.99,73,100,3.24
Prome,18.82,95.22,76.19,95,100,4.61
Key Largo,25.09,-80.45,84.38,71,97,3.0
Chirilagua,13.22,-88.14,87.8,58,40,16.11
La Grande,45.32,-118.09,77.41,33,1,6.93
Lerwick,60.15,-1.15,55.4,93,100,10.29
Jutaí,-5.18,-68.9,89.42,54,60,0.67
Nerchinskiy Zavod,51.31,119.61,39.22,87,12,0.92
Ust-Maya,60.42,134.53,42.13,83,0,3.44
Kahului,20.89,-156.47,81.81,52,20,21.92
Stromness,58.97,-3.3,57.2,93,75,3.36
Inuvik,68.35,-133.72,41.0,80,90,12.75
Turtas,58.94,69.13,48.79,96,99,2.82
Sindor,62.86,51.89,47.59,96,100,7.38
Tomatlán,19.93,-105.25,89.78,65,56,8.21
Diffa,13.32,12.61,86.36,47,97,14.52
Omboué,-1.57,9.26,74.62,84,27,6.8
Alyangula,-13.85,136.42,68.0,100,60,3.36
Sinnamary,5.38,-52.95,80.67,79,48,6.93
Kyabram,-36.32,145.05,47.14,80,0,7.96
Prainha,-1.8,-53.48,86.4,52,81,4.61
Uherský Brod,49.03,17.65,62.6,94,83,1.01
Sorong,-0.88,131.25,77.05,88,86,11.68
San Quintín,30.48,-115.95,82.17,44,0,10.4
Torbay,47.67,-52.73,66.2,93,90,19.46
Carbonear,47.73,-53.21,65.37,93,90,19.46
Cartagena del Chairá,1.33,-74.84,86.94,58,18,1.19
Luganville,-15.53,167.17,78.8,78,75,8.05
Sorrento,40.63,14.37,77.02,57,5,2.24
Nuuk,64.18,-51.72,41.0,41,100,12.75
Saint-Leu,-21.15,55.28,59.54,59,28,8.05
Ürümqi,43.8,87.6,59.0,33,2,6.71
Katsuura,35.13,140.3,71.56,94,75,3.36
Arrondissement de Sens,48.17,3.33,69.8,60,0,3.36
Kaseda-shirakame,31.42,130.32,70.84,88,90,3.36
Anadyr,64.75,177.48,48.09,93,75,20.13
Blackwater,-23.58,148.88,67.15,67,0,8.59
Vila Velha,-20.33,-40.29,75.74,69,0,12.75
Bonavista,48.65,-53.11,62.38,88,97,17.43
Plettenberg Bay,-34.05,23.37,51.73,77,27,7.2
Green River,41.53,-109.47,78.8,9,1,9.17
Sisimiut,66.94,-53.67,35.56,77,1,6.26
Sāhibganj,25.25,87.65,79.86,86,100,3.67
Narón,43.52,-8.15,67.12,77,51,5.82
Springdale,36.19,-94.13,79.2,57,20,6.93
Linxia Chengguanzhen,35.6,103.21,48.18,69,56,1.61
Pemberton,50.32,-122.8,62.6,63,90,0.89
Nadym,65.53,72.52,47.07,83,100,16.91
Mitú,1.2,-70.17,80.4,83,97,1.39
Tommot,58.96,126.29,43.32,83,63,4.54
Hendek,40.8,30.75,71.6,88,75,3.36
Bradford,53.79,-1.75,62.13,72,0,4.7
Fare,-16.7,-151.02,78.98,72,6,11.36
Maumere,-8.62,122.21,75.76,71,55,1.43
Saint Anthony,45.02,-93.22,78.22,57,1,11.41
Gamba,-2.65,10.0,74.32,84,100,5.7
Baruun-Urt,46.68,113.28,46.26,66,1,12.21
San Jose,37.34,-121.89,75.9,53,20,5.82
Laas,46.62,10.7,59.52,100,5,2.1
Vestmanna,62.16,-7.17,42.8,93,96,1.12
Zhigansk,66.77,123.37,42.51,95,8,11.68
At-Bashi,41.17,75.81,49.35,49,88,2.98
Zyryanka,65.75,150.85,47.93,55,100,1.9
Mount Gambier,-37.83,140.77,46.4,93,90,2.24
Riyadh,24.69,46.72,87.8,23,0,7.83
Peace River,56.25,-117.29,46.4,65,90,8.05
Merauke,-8.47,140.33,76.93,76,97,13.89
Airai,-8.93,125.41,54.32,80,2,3.4
Longyearbyen,78.22,15.64,35.6,94,75,8.05
Udachny,66.42,112.4,41.0,79,7,2.24
Juradó,7.11,-77.76,80.29,82,91,6.46
Buchmany,51.07,28.04,57.85,93,13,4.18
Haapiti,-17.57,-149.87,84.2,66,40,12.75
Yuci,37.68,112.73,62.6,88,75,4.47
Urengoy,65.97,78.37,46.54,88,99,10.74
Colares,38.8,-9.45,68.61,94,0,7.0
Bowen,-20.02,148.23,66.2,88,40,8.05
Bridlington,54.08,-0.19,60.01,93,0,2.24
Banjarmasin,-3.32,114.59,71.6,94,20,1.12
Katobu,-4.94,122.53,71.44,82,11,3.78
Kiryat Gat,31.61,34.76,77.09,100,0,4.59
Flin Flon,54.77,-101.86,50.0,81,90,5.82
Amapá,1.0,-52.0,78.22,80,100,1.83
San Lorenzo,-25.33,-57.53,66.2,63,75,18.34
Geraldton,-28.77,114.6,50.0,93,0,9.17
Pangnirtung,66.15,-65.71,41.0,68,75,11.41
Mazamari,-11.33,-74.53,74.03,73,85,2.42
Ahipara,-35.17,173.17,60.42,75,52,15.37
Dicabisagan,17.08,122.42,79.21,79,100,3.38
Mattru,7.62,-11.83,73.85,98,63,2.62
Comodoro Rivadavia,-45.87,-67.5,62.6,36,100,24.16
Zdvinsk,54.7,78.66,48.54,83,4,4.85
Meulaboh,4.14,96.13,76.64,88,92,4.09
Moerai,-22.43,-151.33,70.97,68,46,9.86
Stornoway,58.21,-6.39,57.11,93,100,10.29
Xam Nua,20.42,104.04,66.09,94,49,1.74
Imbituba,-28.24,-48.67,62.6,63,90,26.4
Malé,4.17,73.51,84.2,83,75,10.29
Lanzhou,36.06,103.79,52.0,84,85,4.16
Srednekolymsk,67.45,153.68,44.04,73,0,7.78
Arlit,18.74,7.39,98.91,11,0,8.9
Berger,59.55,10.37,59.97,44,69,1.99
Havøysund,71.0,24.66,47.32,87,90,6.93
Ambilobe,-13.2,49.05,66.4,69,7,4.45
Marawi,8.0,124.29,73.0,92,100,7.0
Porto de Moz,-1.75,-52.24,86.25,52,100,2.28
Santa Cruz,30.42,-9.6,71.6,78,0,3.36
Palmer,42.16,-72.33,67.86,37,75,11.41
Murmashi,68.82,32.81,46.4,93,75,6.71
Avera,33.19,-82.53,84.99,70,75,5.35
Tegul'det,57.31,88.17,45.91,87,98,4.63
Mount Vernon,40.91,-73.84,74.23,38,75,11.41
Qinhuangdao,39.93,119.59,66.54,85,100,5.86
Lufilufi,-13.87,-171.6,84.99,70,75,5.82
Port Lincoln,-34.73,135.87,53.38,83,88,8.1
Namwala,-15.75,26.44,66.13,38,4,5.39
Anderson,34.53,-82.65,85.84,52,20,8.05
Potsdam,52.4,13.07,67.32,72,25,4.14
Sakhnovshchyna,49.15,35.87,57.52,68,0,6.13
Jalu,29.03,21.55,87.06,29,0,10.47
Pacific Grove,36.62,-121.92,65.8,60,1,11.41
Belyy Yar,53.6,91.39,35.6,100,0,2.24
Hong Kong,22.29,114.16,78.71,94,99,10.0
Mgandu,-5.95,34.13,63.77,66,0,9.4
Dmitriyevka,54.75,55.33,48.09,100,90,11.18
Zeya,53.75,127.27,56.08,88,84,2.59
Zhangjiakou Shi Xuanhua Qu,40.61,115.04,59.2,83,100,3.58
Buta,2.79,24.73,70.12,92,95,2.17
Gurupá,-1.41,-51.64,86.5,52,88,2.51
Ternate,0.8,127.4,79.14,80,100,6.96
St. George's,12.06,-61.75,80.6,94,20,6.93
Acarí,-15.43,-74.62,68.07,53,94,6.46
Sur,22.57,59.53,80.8,60,95,6.06
Kumul,42.8,93.45,59.49,29,0,8.75
Vryburg,-26.96,24.73,52.43,36,0,9.89
Podor,16.65,-14.96,87.8,79,33,2.24
Birao,10.28,22.79,72.28,94,98,3.98
Omsukchan,62.53,155.8,43.57,62,0,2.73
Bathsheba,13.22,-59.52,86.0,70,40,13.87
Adrar,20.5,-10.07,99.45,14,73,4.34
Rocha,-34.48,-54.33,44.65,81,0,6.29
Ivdel',60.69,60.42,48.33,96,100,3.27
Vardø,70.37,31.11,46.4,81,75,9.17
Ashland,40.82,-82.27,63.91,63,75,8.05
Zomba,-15.39,35.32,70.32,47,23,2.37
Kalanguy,51.02,116.52,42.42,71,40,5.68
Tam Ky,15.57,108.48,78.8,83,20,1.12
Grindavik,63.84,-22.43,42.8,93,20,9.17
Liberal,37.04,-100.92,80.6,39,1,6.93
Māngrol,21.12,70.12,80.89,85,80,8.43
Chara,56.91,118.26,51.48,87,100,3.85
Khandyga,62.67,135.6,45.18,86,90,4.29
Seymchan,62.88,152.43,46.62,58,100,0.63
Viedma,-40.81,-63.0,61.77,29,0,15.48
Hibbing,47.43,-92.94,61.63,59,90,10.29
Luang Prabang,19.89,102.13,72.86,88,37,1.03
Camacha,33.08,-16.33,71.6,78,20,4.7
Antofagasta,-23.65,-70.4,59.0,77,40,11.41
Eyl,7.98,49.82,78.35,78,14,18.37
Saldanha,-33.01,17.94,48.2,81,97,4.7
Mananjary,-21.22,48.33,66.96,83,57,3.13
Teya,60.38,92.63,45.09,87,88,1.52
Matara,5.95,80.54,77.88,88,93,9.6
Olafsvik,64.89,-23.71,47.89,75,0,7.0
Tuskegee,32.42,-85.69,86.4,62,75,8.05
Hofn,64.25,-15.21,47.05,78,12,7.63
Santa Cruz de Barahona,18.21,-71.1,86.0,79,75,13.87
