City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Campo Verde,BR,-20.42,-54.07,71.6,64,0,11.41
Elko,US,41.0,-115.5,60.31,33,1,4.12
Norman Wells,CA,65.28,-126.83,51.8,62,90,6.93
Alamogordo,US,32.9,-105.96,67.59,28,1,4.7
Hancheng,CN,32.52,112.35,79.68,48,34,2.55
Butaritari,KI,3.07,172.79,82.94,77,63,12.8
Qandala,SO,11.47,49.87,92.35,44,14,3.0
Kroya,ID,-7.63,109.25,75.99,65,78,11.41
Darhan,MN,49.49,105.92,61.43,50,75,8.66
Pisco,PE,-13.7,-76.22,58.57,87,2,3.36
Lata,PT,40.16,-8.33,61.14,93,40,3.36
Arraial do Cabo,BR,-22.97,-42.03,69.8,87,100,14.0
Isangel,VU,-19.55,169.27,78.8,78,75,9.17
Avarua,CK,-21.21,-159.78,77.0,100,94,3.36
Yershichi,RU,53.67,32.75,54.86,60,84,6.38
Hualmay,PE,-11.1,-77.61,60.42,85,17,7.34
Talnakh,RU,69.49,88.4,42.8,87,99,11.18
Ponta do Sol,PT,32.67,-17.1,68.32,83,40,4.7
Westlock,CA,54.15,-113.87,59.54,62,75,5.82
Daru,PG,-9.08,143.21,80.24,74,100,13.76
Anqiu,CN,36.43,119.19,77.04,50,20,2.91
Teotitlán,MX,18.13,-97.08,66.87,80,53,1.9
Nanortalik,GL,60.14,-45.24,37.2,80,100,21.85
Batamshinskiy,KZ,50.56,58.27,53.6,54,0,15.66
Castro,BR,-24.79,-50.01,55.74,90,61,7.81
Rocha,UY,-34.48,-54.33,46.99,86,77,0.78
Belyy Yar,RU,53.6,91.39,51.8,66,100,4.47
Saint-Philippe,RE,-21.36,55.77,71.76,57,31,16.11
Sambava,MG,-14.27,50.17,74.55,60,13,13.51
Sørland,NO,67.67,12.69,44.6,56,75,2.24
Belle Fourche,US,44.67,-103.85,56.61,54,1,8.05
Yangi Marg`ilon,UZ,40.43,71.72,69.8,26,0,2.24
Great Falls,US,47.5,-111.3,61.45,31,1,10.29
Tura,IN,25.52,90.22,80.85,93,97,2.82
Uelzen,DE,52.97,10.57,62.29,72,75,9.17
Moose Factory,CA,51.26,-80.61,39.2,93,20,4.7
São Filipe,CV,14.9,-24.5,79.21,80,32,0.98
Kishtwār,IN,33.32,75.77,79.32,29,0,4.32
Esna,EG,25.29,32.55,80.6,61,0,2.24
Liusha,CN,27.21,108.59,66.09,79,100,4.12
Cockburn Town,TC,21.46,-71.14,82.38,77,13,10.8
Kahului,US,20.89,-156.47,73.92,83,90,10.29
Kampene,CD,-3.6,26.67,78.19,68,38,1.95
Kaeo,NZ,-35.1,173.78,63.0,85,100,10.0
Rodolfo Sánchez Taboada,MX,31.72,-116.57,66.99,93,0,1.99
Kruisfontein,ZA,-34.0,24.73,63.36,47,0,1.86
Kabompo,ZM,-13.59,24.2,66.6,47,0,7.78
Okhotsk,RU,59.38,143.3,54.54,43,25,4.05
Ocean City,US,39.28,-74.57,65.01,72,1,5.82
Misratah,LY,32.38,15.09,85.05,46,65,7.99
Laguna,US,38.42,-121.42,66.79,72,1,8.05
Pevek,RU,69.7,170.31,31.93,94,47,20.36
Fairbanks,US,64.84,-147.72,43.45,87,90,4.7
Mayumba,GA,-3.43,10.66,75.42,84,100,4.7
Saldanha,ZA,-33.01,17.94,53.6,87,0,6.93
Matagami,CA,49.75,-77.63,41.0,93,90,16.11
Katsuura,JP,35.13,140.3,69.46,100,75,23.04
Ludvika,SE,60.15,15.19,47.89,93,99,5.82
Kota Kinabalu,MY,5.97,116.07,89.6,70,20,6.93
Bismarck,US,46.81,-100.78,56.19,67,1,6.93
Mayor Pablo Lagerenza,PY,-19.93,-60.77,76.28,58,0,5.21
Smithers,CA,54.78,-127.17,50.0,76,40,5.82
Nefteyugansk,RU,61.1,72.6,44.6,87,40,13.42
Kiruna,SE,67.86,20.23,35.6,74,21,8.05
Bambous Virieux,MU,-20.34,57.76,74.62,64,75,8.05
San Rafael,AR,-34.62,-68.33,59.68,33,100,4.74
Constitución,CL,-35.33,-72.42,53.67,73,100,4.72
Ubari,LY,26.59,12.78,75.83,23,0,9.17
Galle,LK,6.04,80.22,83.73,73,99,11.45
Sencha,UA,50.25,33.35,60.53,33,3,7.61
Cayenne,GF,4.93,-52.33,75.2,100,75,8.43
Harper,LR,4.38,-7.72,75.49,91,88,7.23
Coahuayana Viejo,MX,18.73,-103.68,77.54,84,79,3.06
Praia,CV,14.92,-23.51,78.8,88,20,5.82
Sioux Lookout,CA,50.1,-91.92,44.6,87,20,4.7
Timrå,SE,62.49,17.33,49.03,87,90,2.24
Pangkalanbuun,ID,-2.68,111.62,87.42,64,79,3.2
Truth or Consequences,US,33.13,-107.25,71.69,33,1,3.36
Olafsvik,IS,64.89,-23.71,38.03,76,83,22.59
Port Macquarie,AU,-31.43,152.92,73.4,44,0,3.0
Litija,SI,46.06,14.82,56.66,97,36,2.48
Letka,RU,59.6,49.42,47.19,75,3,6.08
Coos Bay,US,43.37,-124.22,61.92,93,90,12.75
Westerland,DE,54.91,8.3,60.8,77,79,26.4
Itaituba,BR,-4.28,-55.98,76.1,81,31,1.88
Codrington,AU,-38.27,141.97,51.57,86,100,14.2
Saint-Pierre,RE,-21.34,55.48,70.9,57,38,16.11
Kapit,MY,2.02,112.93,93.61,46,100,1.45
Doka,SD,13.52,35.77,75.56,82,97,9.19
Aksha,RU,50.28,113.29,56.68,44,0,5.28
Broken Hill,AU,-31.95,141.43,59.0,44,90,17.22
Mbamba,NG,9.98,13.1,73.02,92,100,2.44
Muros,ES,42.78,-9.06,54.0,95,45,7.18
Quesnel,CA,53.0,-122.5,59.0,67,90,10.29
Tessalit,ML,20.2,1.01,85.42,18,0,5.93
Bodaybo,RU,57.85,114.19,61.3,45,0,4.7
Discovery Bay,US,37.91,-121.6,66.04,72,1,18.34
Florø,NO,61.6,5.03,48.2,76,75,6.93
Werda,BW,-25.27,23.28,69.89,40,0,15.55
Orangeburg,US,33.49,-80.86,62.62,88,1,3.74
Gorno-Altaysk,RU,51.96,85.95,60.22,41,100,12.01
Martinsville,US,36.69,-79.87,57.72,100,1,2.1
Longyearbyen,SJ,78.22,15.64,30.2,86,75,9.17
Baganga,PH,7.57,126.56,84.99,77,74,7.25
Noumea,NC,-22.28,166.46,80.22,47,20,11.41
Terrasini,IT,38.15,13.08,72.93,41,6,4.7
Arni,IN,12.67,79.28,90.01,48,96,5.1
Husavik,IS,66.04,-17.34,35.6,92,90,16.11
Teeli,RU,51.03,90.23,49.93,49,100,7.43
Miami,US,25.77,-80.19,80.04,74,75,16.11
Manavgat,TR,36.79,31.44,78.8,54,0,4.7
Severnyy-Kospashskiy,RU,59.09,57.8,43.0,82,91,3.0
Macon,US,39.87,-88.97,57.76,82,1,5.82
Obzor,BG,42.82,27.88,66.4,82,79,4.7
Rabat,MA,33.99,-6.84,69.24,64,0,5.82
Walvis Bay,NA,-22.96,14.51,55.0,96,0,2.75
Guerrero Negro,MX,27.98,-114.06,75.88,62,0,10.56
Grand Forks,US,47.93,-97.03,50.0,93,1,8.05
Arrondissement de Sens,FR,48.17,3.33,51.01,94,4,8.95
Tamworth,GB,52.63,-1.7,46.18,93,75,11.41
Saint Paul Harbor,US,57.79,-152.41,51.8,81,90,12.75
Vardø,NO,70.37,31.11,46.29,68,21,32.21
Batagay-Alyta,RU,67.8,130.41,49.05,49,84,4.09
Los Llanos de Aridane,ES,28.66,-17.92,69.49,64,48,5.82
Shizuishan,CN,39.23,106.77,72.1,20,0,9.73
Mariestad,SE,58.71,13.82,54.52,74,93,4.7
Maragogi,BR,-9.01,-35.22,73.24,78,6,7.94
Sabha,LY,27.04,14.43,77.31,28,0,9.42
Inhambane,MZ,-23.86,35.38,66.09,88,20,4.7
Great Yarmouth,GB,52.61,1.73,46.35,99,0,3.0
Monrovia,LR,6.3,-10.8,76.3,85,42,3.02
Turukhansk,RU,65.82,87.98,48.18,74,96,22.06
Klaksvík,FO,62.23,-6.59,42.8,93,95,2.24
Cap-aux-Meules,CA,47.38,-61.86,58.05,80,98,22.55
Lebu,CL,-37.62,-73.65,47.75,90,11,11.21
Ostrovnoy,RU,68.05,39.51,50.14,85,96,19.53
Cachoeira do Sul,BR,-30.04,-52.89,57.33,95,5,3.13
Pangoa,PE,-12.12,-73.0,67.21,79,35,3.2
Kawalu,ID,-7.38,108.21,85.44,60,87,5.53
Haines Junction,CA,60.75,-137.51,45.23,77,86,2.3
Pantai Remis,MY,4.46,100.63,89.6,70,20,4.7
San Francisco,US,37.77,-122.42,61.68,88,75,5.82
Malbork,PL,54.04,19.03,54.0,100,96,9.22
Kiunga,PG,-6.12,141.29,87.64,64,72,3.24
Salalah,OM,17.02,54.09,80.6,83,75,5.82
Minas,UY,-34.38,-55.24,50.72,100,43,4.7
Matara,LK,5.95,80.54,85.71,68,98,11.39
Beyneu,KZ,45.32,55.2,68.14,26,0,2.59
Varhaug,NO,58.61,5.65,50.32,99,100,5.39
Seymchan,RU,62.88,152.43,46.08,58,95,10.6
Mogadishu,SO,2.04,45.34,80.6,61,40,16.11
Ouadda,CF,8.08,22.4,71.82,90,99,4.09
Inverness,GB,57.48,-4.22,34.45,89,40,3.36
Batī,ET,11.18,40.02,78.8,30,99,4.52
Viedma,AR,-40.81,-63.0,45.1,65,0,7.38
Kārsava,LV,56.78,27.69,56.64,72,38,9.4
Kalabo,ZM,-14.97,22.68,71.33,31,0,9.78
Taksimo,RU,56.34,114.88,59.31,42,0,0.51
Srednekolymsk,RU,67.45,153.68,43.93,78,100,9.98
Quatre Cocos,MU,-20.21,57.76,74.75,64,75,8.05
Tuatapere,NZ,-46.13,167.68,51.01,91,100,5.01
Lichinga,MZ,-13.31,35.24,64.02,68,44,7.07
Saurimo,AO,-9.66,20.39,74.68,57,2,1.63
San Andrés,CO,12.58,-81.7,78.8,94,40,5.73
Mananjary,MG,-21.22,48.33,71.67,80,63,7.18
Vila Velha,BR,-20.33,-40.29,67.46,100,90,3.36
Iranshahr,IR,27.2,60.68,84.2,11,0,4.7
Tocache,PE,-8.18,-76.51,67.19,88,61,0.29
Pemangkat,ID,1.17,108.97,80.04,85,100,9.35
Cherskiy,RU,68.75,161.3,37.33,79,94,14.9
Mabai,CN,23.01,104.45,60.22,100,100,0.63
Broome,US,42.25,-75.83,49.73,67,1,6.93
Contamana,PE,-7.33,-75.02,70.47,72,44,1.07
Korla,CN,41.76,86.15,78.39,18,0,17.98
Ābādān,IR,30.34,48.3,89.6,46,0,4.7
Provideniya,RU,64.38,-173.3,42.8,75,90,4.47
Brae,GB,60.4,-1.35,44.6,70,20,14.99
Khovd,MN,48.01,91.64,63.28,28,100,14.27
Inongo,CD,-1.95,18.27,69.93,97,100,8.34
Shirokiy,RU,49.76,129.52,63.79,70,13,12.41
Upata,VE,8.01,-62.4,80.01,87,100,3.76
Ha Tinh,VN,18.33,105.9,87.39,73,97,6.33
Ol'ga,RU,43.74,135.29,58.23,84,100,9.89
Vila do Maio,CV,15.13,-23.22,78.8,88,20,5.82
Yarmouth,US,41.71,-70.23,63.19,68,1,5.82
Selfoss,IS,63.93,-21.0,37.4,74,75,21.92
Buluang,PH,13.31,123.34,84.07,80,100,5.99
Lerwick,GB,60.15,-1.15,44.6,70,20,14.99
Honningsvåg,NO,70.98,25.97,48.2,70,90,33.33
Champerico,GT,14.3,-91.92,66.52,99,99,6.31
Dongsheng,CN,39.82,109.98,64.27,29,0,1.03
Troitsko-Pechorsk,RU,62.71,56.2,42.57,81,22,3.74
San Quintín,MX,30.48,-115.95,69.8,76,0,8.97
Karema,TZ,-6.82,30.44,79.27,46,35,12.71
Strážske,SK,48.87,21.84,57.76,77,40,4.47
Poum,NC,-20.23,164.02,73.89,72,2,10.58
Trairi,BR,-3.28,-39.27,76.87,79,46,12.33
Hay River,CA,60.82,-115.8,55.4,76,90,6.93
Menongue,AO,-14.66,17.69,73.49,22,0,11.77
Kilinochchi,LK,9.4,80.4,93.13,48,86,7.74
Casper,US,42.87,-106.31,54.25,40,1,8.05
Laas,IT,46.62,10.7,54.16,93,75,2.24
Kasongo,CD,-4.45,26.67,79.63,65,5,2.21
Auki,SB,-8.77,160.7,82.38,78,39,0.92
Klyuchi,RU,52.27,79.17,46.42,75,56,21.83
Isla Vista,US,34.41,-119.86,63.9,77,1,3.36
Xingyi,CN,24.19,102.82,62.44,89,100,1.5
Alta Floresta,BR,-9.88,-56.09,72.07,82,7,2.64
Batagay,RU,67.63,134.63,52.02,46,46,1.21
Khanpur,PK,28.65,70.66,106.14,8,19,6.24
Paamiut,GL,61.99,-49.67,38.53,76,100,5.99
Dargaville,NZ,-35.93,173.88,60.82,87,100,11.43
Alençon,FR,48.43,0.08,50.0,93,52,5.82
Severo-Kuril'sk,RU,50.68,156.12,48.58,69,2,14.43
Kousséri,CM,12.08,15.03,78.8,88,20,12.75
Two Rivers,US,44.15,-87.57,62.44,77,1,3.36
Tremedal,BR,-14.98,-41.41,64.47,85,61,3.67
Pangnirtung,CA,66.15,-65.71,33.85,77,100,10.11
Port Said,EG,31.26,32.28,78.84,64,3,6.49
Kieta,PG,-6.22,155.63,83.59,67,54,2.19
Valparaíso,CL,-33.04,-71.63,50.0,100,100,3.36
Dali,CN,25.7,100.18,70.29,75,100,2.19
Kloulklubed,PW,7.04,134.26,86.0,70,75,4.7
Hereford,GB,52.06,-2.71,48.24,93,90,12.12
Evensk,RU,61.95,159.23,47.21,56,95,8.97
Mukhen,RU,48.1,136.1,68.67,56,13,2.68
Kołobrzeg,PL,54.18,15.58,60.01,79,56,13.71
Tortolì,IT,39.93,9.66,71.6,56,40,5.82
Kostomuksha,RU,64.57,30.58,49.93,90,45,7.7
Jijiga,ET,9.35,42.8,67.84,70,34,20.29
Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,67.01,64,35,6.73
Chicama,PE,-7.84,-79.15,62.69,81,52,4.09
Nortelândia,BR,-14.45,-56.8,73.85,75,10,2.15
Wuhu,CN,31.34,118.38,78.8,54,75,4.47
Senador José Porfírio,BR,-2.59,-51.95,73.99,93,31,3.87
General Pico,AR,-35.66,-63.76,56.21,65,100,8.43
Mahanoro,MG,-19.9,48.8,72.19,77,56,8.01
Blagoyevo,RU,63.37,47.92,46.13,68,98,10.09
Svetlaya,RU,46.54,138.33,60.67,67,70,4.52
Makurdi,NG,7.74,8.51,73.26,95,100,1.19
Enid,US,36.4,-97.88,61.75,100,1,8.05
Port Augusta,AU,-32.5,137.77,60.21,59,90,19.46
Rome,US,43.21,-75.46,48.74,93,1,2.44
Dunedin,NZ,-45.87,170.5,53.55,76,77,1.99
Santa Vitória do Palmar,BR,-33.52,-53.37,52.14,88,69,2.98
Birin,NP,26.89,88.07,78.8,88,75,2.24
Kathmandu,NP,27.72,85.32,69.8,100,75,2.24
Cidreira,BR,-30.18,-50.21,60.82,87,23,5.39
Tymovskoye,RU,50.85,142.66,58.86,74,25,3.8
Iracoubo,GF,5.48,-53.2,78.26,87,54,8.5
Nelson Bay,AU,-32.72,152.15,70.65,26,0,20.8
Makkah al Mukarramah,SA,21.43,39.83,103.69,8,7,8.32
Avera,US,33.19,-82.53,61.81,63,90,3.36
Bintulu,MY,3.17,113.03,89.29,75,40,4.7
Puerto Colombia,CO,10.99,-74.95,80.6,94,20,1.5
Te Anau,NZ,-45.42,167.72,45.16,90,100,5.55
Summerside,CA,46.4,-63.79,58.35,76,78,18.59
Sayyan,YE,15.17,44.32,68.09,24,98,11.21
Raton,US,36.9,-104.44,51.93,57,1,6.93
Qui Nhon,VN,13.77,109.23,85.37,73,42,7.47
Estelle,US,29.85,-90.11,78.26,100,75,13.87
Conde,BR,-7.26,-34.91,71.6,94,40,2.24
Nabire,ID,-3.37,135.48,86.04,67,94,4.25
Smidovich,RU,48.6,133.82,63.19,76,77,8.3
Nānākuli,US,21.39,-158.15,78.57,69,1,8.05
Namatanai,PG,-3.67,152.43,84.47,66,70,6.73
Calvinia,ZA,-31.47,19.78,46.4,45,30,5.82
Kerrville,US,30.05,-99.14,62.73,88,1,4.7
Lagoa,PT,39.05,-27.98,66.56,69,100,15.14
Raja,SS,8.46,25.68,72.19,92,77,3.27
Hokitika,NZ,-42.72,170.97,54.32,85,10,5.37
Caucayá,CO,-0.19,-74.78,70.25,98,87,1.9
Kirkuk,IQ,35.47,44.39,88.57,21,0,1.79
Ust-Tsilma,RU,65.44,52.15,42.84,82,72,7.9
Sitka,US,57.05,-135.33,51.8,87,40,5.82
Deputatsky,RU,69.3,139.9,45.01,59,77,5.86
Görele,TR,41.03,39.0,77.0,69,40,1.12
Carroll,US,39.55,-77.02,60.17,77,1,4.9
Beira,MZ,-19.84,34.84,69.39,83,40,4.7
Nuuk,GL,64.18,-51.72,35.29,47,80,3.36
Bristol,US,41.83,-71.17,56.53,81,1,5.23
Puerto El Triunfo,SV,13.28,-88.55,73.4,100,40,2.24
Chalinze,TZ,-6.64,38.35,79.75,60,59,5.57
Ţahţā,EG,26.77,31.5,79.83,51,0,12.75
Abu Dhabi,AE,24.47,54.37,87.8,74,75,9.17
Noyabrsk,RU,63.2,75.45,43.36,86,48,14.12
Sawtell,AU,-30.38,153.1,69.67,46,1,12.75
Talas,TR,38.69,35.55,59.0,51,0,3.36
Najrān,SA,17.49,44.13,80.6,24,89,4.7
Listvyanskiy,RU,54.44,83.5,45.54,81,100,13.58
Vostok,RU,46.49,135.88,63.39,48,13,1.83
San Patricio,MX,19.22,-104.7,78.69,85,84,3.67
Kumluca,TR,36.37,30.29,83.82,44,0,3.27
Dingle,PH,11.0,122.67,80.92,86,100,8.9
Kushima,JP,31.46,131.23,70.66,94,75,14.99
Antigonish,CA,45.62,-62.0,57.99,86,97,1.99
Ziyang,CN,29.25,117.85,80.17,56,39,3.09
Quelimane,MZ,-17.88,36.89,68.0,82,40,3.36
The Valley,AI,18.22,-63.06,80.87,83,20,8.05
Vanimo,PG,-2.67,141.3,84.52,67,79,6.33
Agadez,NE,19.75,10.25,78.37,24,0,9.78
Tupik,RU,54.43,119.93,49.26,76,84,4.76
Morant Bay,JM,17.88,-76.41,80.51,74,20,10.29
